Participant,List,Item,Verb,Whether,KnowledgeState,Score,Factivity,Slifting,Counts,Freq,Frequency
21,1,3,contemplate,-2.189439079,knowledge,1,0.575,2.969179915,2294,4.02E-06,-5.395550886
21,1,4,distress,-1.186761847,knowledge,1,0.925,-1.737307311,6998,1.23E-05,-4.911170362
21,1,5,gladden,-4.729103586,noknowledge,2,0.9625,-3.559579826,163,2.86E-07,-6.543956695
21,1,6,madden,-3.796717315,noknowledge,1,0.8875,-4.641474729,1383,2.42E-06,-5.61532212
21,1,7,realize,-5.34250527,noknowledge,5,0.95,3.47999809,35851,6.29E-05,-4.201643026
21,1,8,surmise,-0.733537522,noknowledge,3,0.65,3.710940468,552,9.68E-07,-6.014205222
22,1,1,admit,-0.999347038,knowledge,5,0.775,4.180253543,18705,3.28E-05,-4.484186587
22,1,2,astonish,-1.436649963,knowledge,3,0.975,-2.444390443,159,2.79E-07,-6.554747175
22,1,3,contemplate,-2.189439079,knowledge,2,0.575,2.969179915,2294,4.02E-06,-5.395550886
22,1,4,distress,-1.186761847,knowledge,6,0.925,-1.737307311,6998,1.23E-05,-4.911170362
22,1,5,gladden,-4.729103586,noknowledge,2,0.9625,-3.559579826,163,2.86E-07,-6.543956695
22,1,6,madden,-3.796717315,noknowledge,4,0.8875,-4.641474729,1383,2.42E-06,-5.61532212
22,1,7,realize,-5.34250527,noknowledge,6,0.95,3.47999809,35851,6.29E-05,-4.201643026
22,1,8,surmise,-0.733537522,noknowledge,5,0.65,3.710940468,552,9.68E-07,-6.014205222
23,1,1,admit,-0.999347038,knowledge,3,0.775,4.180253543,18705,3.28E-05,-4.484186587
23,1,2,astonish,-1.436649963,knowledge,6,0.975,-2.444390443,159,2.79E-07,-6.554747175
23,1,3,contemplate,-2.189439079,knowledge,1,0.575,2.969179915,2294,4.02E-06,-5.395550886
23,1,4,distress,-1.186761847,knowledge,2,0.925,-1.737307311,6998,1.23E-05,-4.911170362
23,1,5,gladden,-4.729103586,noknowledge,5,0.9625,-3.559579826,163,2.86E-07,-6.543956695
23,1,6,madden,-3.796717315,noknowledge,6,0.8875,-4.641474729,1383,2.42E-06,-5.61532212
23,1,7,realize,-5.34250527,noknowledge,5,0.95,3.47999809,35851,6.29E-05,-4.201643026
23,1,8,surmise,-0.733537522,noknowledge,7,0.65,3.710940468,552,9.68E-07,-6.014205222
24,1,1,admit,-0.999347038,knowledge,5,0.775,4.180253543,18705,3.28E-05,-4.484186587
24,1,2,astonish,-1.436649963,knowledge,7,0.975,-2.444390443,159,2.79E-07,-6.554747175
24,1,3,contemplate,-2.189439079,knowledge,7,0.575,2.969179915,2294,4.02E-06,-5.395550886
24,1,4,distress,-1.186761847,knowledge,7,0.925,-1.737307311,6998,1.23E-05,-4.911170362
24,1,5,gladden,-4.729103586,noknowledge,6,0.9625,-3.559579826,163,2.86E-07,-6.543956695
24,1,6,madden,-3.796717315,noknowledge,7,0.8875,-4.641474729,1383,2.42E-06,-5.61532212
24,1,7,realize,-5.34250527,noknowledge,6,0.95,3.47999809,35851,6.29E-05,-4.201643026
24,1,8,surmise,-0.733537522,noknowledge,6,0.65,3.710940468,552,9.68E-07,-6.014205222
25,1,1,admit,-0.999347038,knowledge,2,0.775,4.180253543,18705,3.28E-05,-4.484186587
25,1,2,astonish,-1.436649963,knowledge,6,0.975,-2.444390443,159,2.79E-07,-6.554747175
25,1,3,contemplate,-2.189439079,knowledge,2,0.575,2.969179915,2294,4.02E-06,-5.395550886
25,1,4,distress,-1.186761847,knowledge,5,0.925,-1.737307311,6998,1.23E-05,-4.911170362
25,1,5,gladden,-4.729103586,noknowledge,1,0.9625,-3.559579826,163,2.86E-07,-6.543956695
25,1,6,madden,-3.796717315,noknowledge,5,0.8875,-4.641474729,1383,2.42E-06,-5.61532212
25,1,7,realize,-5.34250527,noknowledge,7,0.95,3.47999809,35851,6.29E-05,-4.201643026
25,1,8,surmise,-0.733537522,noknowledge,2,0.65,3.710940468,552,9.68E-07,-6.014205222
26,1,1,admit,-0.999347038,noknowledge,4,0.775,4.180253543,18705,3.28E-05,-4.484186587
26,1,2,astonish,-1.436649963,noknowledge,7,0.975,-2.444390443,159,2.79E-07,-6.554747175
26,1,3,contemplate,-2.189439079,noknowledge,5,0.575,2.969179915,2294,4.02E-06,-5.395550886
26,1,4,distress,-1.186761847,noknowledge,4,0.925,-1.737307311,6998,1.23E-05,-4.911170362
26,1,5,gladden,-4.729103586,knowledge,2,0.9625,-3.559579826,163,2.86E-07,-6.543956695
26,1,6,madden,-3.796717315,knowledge,2,0.8875,-4.641474729,1383,2.42E-06,-5.61532212
26,1,7,realize,-5.34250527,knowledge,6,0.95,3.47999809,35851,6.29E-05,-4.201643026
26,1,8,surmise,-0.733537522,knowledge,7,0.65,3.710940468,552,9.68E-07,-6.014205222
27,1,1,admit,-0.999347038,noknowledge,6,0.775,4.180253543,18705,3.28E-05,-4.484186587
27,1,2,astonish,-1.436649963,noknowledge,7,0.975,-2.444390443,159,2.79E-07,-6.554747175
27,1,3,contemplate,-2.189439079,noknowledge,5,0.575,2.969179915,2294,4.02E-06,-5.395550886
27,1,4,distress,-1.186761847,noknowledge,7,0.925,-1.737307311,6998,1.23E-05,-4.911170362
27,1,5,gladden,-4.729103586,knowledge,7,0.9625,-3.559579826,163,2.86E-07,-6.543956695
27,1,6,madden,-3.796717315,knowledge,6,0.8875,-4.641474729,1383,2.42E-06,-5.61532212
27,1,7,realize,-5.34250527,knowledge,7,0.95,3.47999809,35851,6.29E-05,-4.201643026
27,1,8,surmise,-0.733537522,knowledge,6,0.65,3.710940468,552,9.68E-07,-6.014205222
28,1,1,admit,-0.999347038,noknowledge,4,0.775,4.180253543,18705,3.28E-05,-4.484186587
28,1,2,astonish,-1.436649963,noknowledge,6,0.975,-2.444390443,159,2.79E-07,-6.554747175
28,1,3,contemplate,-2.189439079,noknowledge,4,0.575,2.969179915,2294,4.02E-06,-5.395550886
28,1,4,distress,-1.186761847,noknowledge,5,0.925,-1.737307311,6998,1.23E-05,-4.911170362
28,1,5,gladden,-4.729103586,knowledge,4,0.9625,-3.559579826,163,2.86E-07,-6.543956695
28,1,6,madden,-3.796717315,knowledge,6,0.8875,-4.641474729,1383,2.42E-06,-5.61532212
28,1,7,realize,-5.34250527,knowledge,7,0.95,3.47999809,35851,6.29E-05,-4.201643026
28,1,8,surmise,-0.733537522,knowledge,5,0.65,3.710940468,552,9.68E-07,-6.014205222
29,1,1,admit,-0.999347038,noknowledge,3,0.775,4.180253543,18705,3.28E-05,-4.484186587
29,1,2,astonish,-1.436649963,noknowledge,5,0.975,-2.444390443,159,2.79E-07,-6.554747175
29,1,3,contemplate,-2.189439079,noknowledge,2,0.575,2.969179915,2294,4.02E-06,-5.395550886
29,1,4,distress,-1.186761847,noknowledge,6,0.925,-1.737307311,6998,1.23E-05,-4.911170362
29,1,5,gladden,-4.729103586,knowledge,4,0.9625,-3.559579826,163,2.86E-07,-6.543956695
29,1,6,madden,-3.796717315,knowledge,2,0.8875,-4.641474729,1383,2.42E-06,-5.61532212
29,1,7,realize,-5.34250527,knowledge,5,0.95,3.47999809,35851,6.29E-05,-4.201643026
29,1,8,surmise,-0.733537522,knowledge,3,0.65,3.710940468,552,9.68E-07,-6.014205222
30,1,1,admit,-0.999347038,noknowledge,3,0.775,4.180253543,18705,3.28E-05,-4.484186587
30,1,2,astonish,-1.436649963,noknowledge,4,0.975,-2.444390443,159,2.79E-07,-6.554747175
30,1,3,contemplate,-2.189439079,noknowledge,2,0.575,2.969179915,2294,4.02E-06,-5.395550886
30,1,4,distress,-1.186761847,noknowledge,5,0.925,-1.737307311,6998,1.23E-05,-4.911170362
30,1,5,gladden,-4.729103586,knowledge,2,0.9625,-3.559579826,163,2.86E-07,-6.543956695
30,1,6,madden,-3.796717315,knowledge,6,0.8875,-4.641474729,1383,2.42E-06,-5.61532212
30,1,7,realize,-5.34250527,knowledge,7,0.95,3.47999809,35851,6.29E-05,-4.201643026
30,1,8,surmise,-0.733537522,knowledge,5,0.65,3.710940468,552,9.68E-07,-6.014205222
31,2,1,advise,0.249841811,knowledge,2,0.7625,0.117502867,4228,7.41E-06,-5.130009321
31,2,2,astound,-1.523618421,knowledge,7,0.9625,-0.887445086,92,1.61E-07,-6.792356472
31,2,3,contend,-2.261010869,knowledge,5,0.55,3.801002039,4932,8.65E-06,-5.063121232
31,2,4,disturb,-1.656653495,knowledge,5,0.9,-6.315727186,2161,3.79E-06,-5.421489533
31,2,5,gloat,-1.792123917,noknowledge,5,0.775,-0.19719639,234,4.10E-07,-6.386928442
31,2,6,miff,-1.734406935,noknowledge,4,0.875,-0.909537068,4,7.01E-09,-8.154084308
31,2,7,reason,-2.207119569,noknowledge,5,0.6375,1.652070529,2480,4.35E-06,-5.361692619
31,2,8,surprise,-2.524555336,noknowledge,4,0.95,-2.616726992,5041,8.84E-06,-5.053627602
32,2,1,advise,0.249841811,knowledge,3,0.7625,0.117502867,4228,7.41E-06,-5.130009321
32,2,2,astound,-1.523618421,knowledge,6,0.9625,-0.887445086,92,1.61E-07,-6.792356472
32,2,3,contend,-2.261010869,knowledge,2,0.55,3.801002039,4932,8.65E-06,-5.063121232
32,2,4,disturb,-1.656653495,knowledge,7,0.9,-6.315727186,2161,3.79E-06,-5.421489533
32,2,5,gloat,-1.792123917,noknowledge,1,0.775,-0.19719639,234,4.10E-07,-6.386928442
32,2,6,miff,-1.734406935,noknowledge,6,0.875,-0.909537068,4,7.01E-09,-8.154084308
32,2,7,reason,-2.207119569,noknowledge,2,0.6375,1.652070529,2480,4.35E-06,-5.361692619
32,2,8,surprise,-2.524555336,noknowledge,6,0.95,-2.616726992,5041,8.84E-06,-5.053627602
33,2,1,advise,0.249841811,knowledge,2,0.7625,0.117502867,4228,7.41E-06,-5.130009321
33,2,2,astound,-1.523618421,knowledge,6,0.9625,-0.887445086,92,1.61E-07,-6.792356472
33,2,3,contend,-2.261010869,knowledge,3,0.55,3.801002039,4932,8.65E-06,-5.063121232
33,2,4,disturb,-1.656653495,knowledge,1,0.9,-6.315727186,2161,3.79E-06,-5.421489533
33,2,5,gloat,-1.792123917,noknowledge,5,0.775,-0.19719639,234,4.10E-07,-6.386928442
33,2,6,miff,-1.734406935,noknowledge,3,0.875,-0.909537068,4,7.01E-09,-8.154084308
33,2,7,reason,-2.207119569,noknowledge,3,0.6375,1.652070529,2480,4.35E-06,-5.361692619
33,2,8,surprise,-2.524555336,noknowledge,5,0.95,-2.616726992,5041,8.84E-06,-5.053627602
34,2,1,advise,0.249841811,knowledge,4,0.7625,0.117502867,4228,7.41E-06,-5.130009321
34,2,2,astound,-1.523618421,knowledge,2,0.9625,-0.887445086,92,1.61E-07,-6.792356472
34,2,3,contend,-2.261010869,knowledge,3,0.55,3.801002039,4932,8.65E-06,-5.063121232
34,2,4,disturb,-1.656653495,knowledge,3,0.9,-6.315727186,2161,3.79E-06,-5.421489533
34,2,5,gloat,-1.792123917,noknowledge,4,0.775,-0.19719639,234,4.10E-07,-6.386928442
